City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
204,Raigarh,IN,2020-09-03 20:54:41,21.9,83.4,76.6,81,62,1.25,broken clouds
205,Montlucon,FR,2020-09-03 20:54:41,46.33,2.6,55.99,79,65,3.87,broken clouds
206,Idah,NG,2020-09-03 20:54:41,7.11,6.73,76.06,88,39,4.18,scattered clouds
207,Fehergyarmat,HU,2020-09-03 20:54:42,47.98,22.52,61.0,87,93,4.7,overcast clouds
208,Sao Paulo De Olivenca,BR,2020-09-03 20:54:42,-3.38,-68.87,85.87,65,55,2.71,broken clouds
209,Mago,RU,2020-09-03 20:54:42,53.25,140.18,56.82,94,100,10.13,moderate rain
210,Puerto Ayora,EC,2020-09-03 21:04:20,-0.74,-90.35,75.2,60,20,17.22,few clouds
211,Kontagora,NG,2020-09-03 20:54:42,10.4,5.47,73.89,93,9,0.36,light rain
212,Bowen,AU,2020-09-03 20:50:57,-20.02,148.23,60.8,100,75,5.82,broken clouds
213,Puerto El Triunfo,SV,2020-09-03 20:54:43,13.28,-88.55,86.0,70,40,4.7,shower rain
214,Jacqueville,CI,2020-09-03 21:04:20,5.21,-4.41,77.0,88,40,9.17,scattered clouds
215,Christchurch,NZ,2020-09-03 20:50:32,-43.53,172.63,41.0,93,70,2.24,broken clouds
216,Canchungo,GW,2020-09-03 20:54:43,12.07,-16.03,77.0,100,90,6.93,light rain
217,Bambous Virieux,MU,2020-09-03 21:04:21,-20.34,57.76,66.2,72,20,9.17,few clouds
218,San Patricio,MX,2020-09-03 21:04:21,19.22,-104.7,89.6,75,40,11.41,scattered clouds
219,Port Shepstone,ZA,2020-09-03 21:04:21,-30.74,30.45,64.18,85,4,5.19,clear sky
220,Gigmoto,PH,2020-09-03 21:04:22,13.78,124.39,80.96,79,87,4.97,overcast clouds
221,Nouakchott,MR,2020-09-03 21:01:12,18.09,-15.98,86.0,74,10,9.17,clear sky
222,Bethanien,NA,2020-09-03 20:54:44,-26.5,17.16,61.68,21,0,8.43,clear sky
223,Kiama,AU,2020-09-03 20:54:45,-34.68,150.87,63.0,59,94,7.0,overcast clouds
224,Minab,IR,2020-09-03 20:54:45,27.15,57.08,82.4,37,0,1.32,clear sky
